tag-id,animal-id,animal-taxon,deploy-on-date,deploy-off-date,animal-comments,animal-life-stage,animal-reproductive-condition,animal-sex,attachment-type,data-processing-software,deployment-end-type,deployment-id,duty-cycle,manipulation-comments,manipulation-type,study-site,tag-manufacturer-name,tag-mass,tag-model,tag-readout-method
Siberia-Tag,Siberia,Felis catus,2017-10-09 01:01:51.000,2017-10-16 00:06:01.000,Hunt: Yes; prey_p_month: 3,8 years,Neutered,m,collar,@Trip PC,removal,Siberia,3-min fixes,"hrs_indoors: 7.5; n_cats: 2; Food: Dry- Yes, Wet- Yes, Other- No",manipulated other,UK,"Mobile Action Technology, Inc.",119.0,i-GotU,tag retreival
Moscow-Tag,Moscow,Felis catus,2017-10-23 01:02:09.000,2017-10-30 02:21:44.000,Hunt: Yes; prey_p_month: 0.5,1 year,Neutered,m,collar,@Trip PC,removal,Moscow,3-min fixes,"hrs_indoors: 12.5; n_cats: 2; Food: Dry- Yes, Wet- No, Other- Yes",manipulated other,UK,"Mobile Action Technology, Inc.",119.0,i-GotU,tag retreival
Neva-Tag,Neva,Felis catus,2017-10-23 01:03:54.000,2017-10-31 00:09:51.000,Hunt: No; prey_p_month: 0,4 years,Spayed,f,collar,@Trip PC,removal,Neva,3-min fixes,"hrs_indoors: 17.5; n_cats: 2; Food: Dry- Yes, Wet- No, Other- Yes",manipulated other,UK,"Mobile Action Technology, Inc.",119.0,i-GotU,tag retreival
Alfie-Tag,Alfie,Felis catus,2017-10-23 01:03:54.000,2017-10-30 10:20:43.000,Hunt: Yes; prey_p_month: 3,3 years,Neutered,m,collar,@Trip PC,removal,Alfie,3-min fixes,"hrs_indoors: 7.5; n_cats: 2; Food: Dry- Yes, Wet- Yes, Other- Yes",manipulated other,UK,"Mobile Action Technology, Inc.",119.0,i-GotU,tag retreival
Casper-Tag,Casper,Felis catus,2017-10-30 01:02:13.000,2017-11-06 05:08:45.000,Hunt: Yes; prey_p_month: 0.5,6 years,Neutered,m,collar,@Trip PC,removal,Casper,3-min fixes,"hrs_indoors: 12.5; n_cats: 4; Food: Dry- Yes, Wet- Yes, Other- No",manipulated other,UK,"Mobile Action Technology, Inc.",119.0,i-GotU,tag retreival
Ginge-Tag,Ginge,Felis catus,2017-10-30 01:05:07.000,2017-11-07 19:55:30.000,Hunt: Yes; prey_p_month: 17.5,3 years,Neutered,m,collar,@Trip PC,removal,Ginge,3-min fixes,"hrs_indoors: 2.5; n_cats: 2; Food: Dry- Yes, Wet- No, Other- Yes",manipulated other,UK,"Mobile Action Technology, Inc.",119.0,i-GotU,tag retreival
Jasper-Tag,Jasper,Felis catus,2017-11-18 01:46:24.000,2017-11-25 01:11:30.000,Hunt: Yes; prey_p_month: 12.5,2 years,Neutered,m,collar,@Trip PC,removal,Jasper,3-min fixes,"hrs_indoors: 7.5; n_cats: 1; Food: Dry- Yes, Wet- No, Other- No",manipulated other,UK,"Mobile Action Technology, Inc.",119.0,i-GotU,tag retreival
Charlie3-Tag,Charlie3,Felis catus,2017-11-20 01:16:41.000,2017-11-26 00:38:20.000,Hunt: Yes; prey_p_month: 7.5,5 years,,m,collar,@Trip PC,removal,Charlie3,3-min fixes,"hrs_indoors: 12.5; n_cats: 2; Food: Dry- No, Wet- Yes, Other- Yes",manipulated other,UK,"Mobile Action Technology, Inc.",119.0,i-GotU,tag retreival
Millie-Tag,Millie,Felis catus,2017-11-20 01:38:55.000,2017-11-27 00:09:29.000,Hunt: Yes; prey_p_month: 7.5,3 years,Spayed,f,collar,@Trip PC,removal,Millie,3-min fixes,"hrs_indoors: 12.5; n_cats: 2; Food: Dry- No, Wet- Yes, Other- Yes",manipulated other,UK,"Mobile Action Technology, Inc.",119.0,i-GotU,tag retreival
SmokeyLongnose-Tag,SmokeyLongnose,Felis catus,2017-11-20 01:47:42.000,2017-11-27 02:53:41.000,Hunt: Yes; prey_p_month: 0.5,9 years,Spayed,f,collar,@Trip PC,removal,SmokeyLongnose,3-min fixes,"hrs_indoors: 7.5; n_cats: 2; Food: Dry- Yes, Wet- Yes, Other- Yes",manipulated other,UK,"Mobile Action Technology, Inc.",119.0,i-GotU,tag retreival
CJ-Tag,CJ,Felis catus,2017-11-24 06:48:32.000,2017-11-29 03:44:48.000,Hunt: Yes; prey_p_month: 0.5,5 years,Neutered,m,collar,@Trip PC,removal,CJ,3-min fixes,"hrs_indoors: 22.5; n_cats: 2; Food: Dry- Yes, Wet- Yes, Other- No",manipulated other,UK,"Mobile Action Technology, Inc.",119.0,i-GotU,tag retreival
Seb-Tag,Seb,Felis catus,2017-11-24 09:43:09.000,2017-11-30 00:52:55.000,Hunt: Yes; prey_p_month: 3,3 years,Neutered,m,collar,@Trip PC,removal,Seb,3-min fixes,"hrs_indoors: 12.5; n_cats: 2; Food: Dry- Yes, Wet- No, Other- No",manipulated other,UK,"Mobile Action Technology, Inc.",119.0,i-GotU,tag retreival
